getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,new HotPlugDiskVDSParameters(getVm().getrun_on_vds().getValue() getVm().getId() _oldDisk oldVmDevice),CLASS_INSTANCE_CREATION, line no: 188, 0.12534232146618918, 0.7446808510638298, 0.5, 0.33663366336633666
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,_oldDisk == null,INFIX_EXPRESSION, line no: 61, 0.125, 1.0, 1.0, 0.125
getId,SIMPLE_NAME, line no: 66,getVm().getstorage_pool_id(),METHOD_INVOCATION, line no: 175, 0.12285714285714285, 0.86, 1.0, 0.14285714285714285
getVmDeviceDao,SIMPLE_NAME, line no: 66,getVmDeviceDAO,SIMPLE_NAME, line no: 157, 0.12244897959183672, 0.14285714285714285, 1.0, 0.8571428571428571
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,DiskInterface.VirtIO.equals(_oldDisk.getdisk_interface()),METHOD_INVOCATION, line no: 138, 0.11815252416756175, 0.8979591836734694, 0.5, 0.2631578947368421
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,!DiskInterface.VirtIO.equals(_oldDisk.getdisk_interface()),PREFIX_EXPRESSION, line no: 138, 0.11611541168191415, 0.8979591836734694, 0.5, 0.25862068965517243
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,new HotPlugDiskVDSParameters(getVm().getrun_on_vds().getValue() getVm().getId() _oldDisk oldVmDevice),CLASS_INSTANCE_CREATION, line no: 188, 0.11138613861386137, 0.75, 0.5, 0.297029702970297
getVmDeviceDao(),METHOD_INVOCATION, line no: 66,getVmDeviceDAO,SIMPLE_NAME, line no: 157, 0.109375, 0.14583333333333334, 1.0, 0.75
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,oldVmDevice=getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),ASSIGNMENT, line no: 65, 0.09881847475832438, 0.9387755102040817, 0.5, 0.21052631578947367
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,new Predicate<DiskImageBase>(){   @Override public boolean eval(  DiskImageBase o){     return o.getinternal_drive_mapping().equals(_oldDisk.getinternal_drive_mapping());   } } ,CLASS_INSTANCE_CREATION, line no: 99, 0.09376126938333934, 0.8297872340425532, 0.5, 0.22598870056497175
getId,SIMPLE_NAME, line no: 66,getVm().getrun_on_vds().getValue(),METHOD_INVOCATION, line no: 188, 0.08941176470588236, 0.76, 1.0, 0.11764705882352941
get,SIMPLE_NAME, line no: 66,oldVmDevice,SIMPLE_NAME, line no: 41, 0.08901515151515152, 0.020833333333333332, 1.0, 0.09090909090909091
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,_oldDisk.getinternal_drive_mapping(),METHOD_INVOCATION, line no: 103, 0.08503401360544219, 0.20408163265306123, 1.0, 0.4166666666666667
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,_oldDisk.getinternal_drive_mapping(),METHOD_INVOCATION, line no: 103, 0.08432539682539683, 0.20833333333333334, 1.0, 0.40476190476190477
_oldDisk,SIMPLE_NAME, line no: 66,getDiskImageDao().get(getParameters().getImageId()),METHOD_INVOCATION, line no: 60, 0.07686274509803921, 0.98, 1.0, 0.0784313725490196
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,new Predicate<DiskImageBase>(){   @Override public boolean eval(  DiskImageBase o){     return o.getinternal_drive_mapping().equals(_oldDisk.getinternal_drive_mapping());   } } ,CLASS_INSTANCE_CREATION, line no: 99, 0.07297551789077213, 0.8333333333333334, 0.5, 0.1751412429378531
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,map == null || !getVmId().equals(map.getvm_id()) || _oldDisk == null,INFIX_EXPRESSION, line no: 61, 0.07202881152460984, 0.9795918367346939, 0.5, 0.14705882352941177
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,Backend.getInstance().getResourceManager().RunVdsCommand(commandType new HotPlugDiskVDSParameters(getVm().getrun_on_vds().getValue() getVm().getId() _oldDisk oldVmDevice)),METHOD_INVOCATION, line no: 183, 0.062419642486831725, 0.7446808510638298, 0.3333333333333333, 0.25146198830409355
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,_oldDisk.getinternal_drive_mapping(),METHOD_INVOCATION, line no: 103, 0.05651595744680851, 0.2127659574468085, 1.0, 0.265625
